run,step,item_id,source,verdict,final_label,logprob_label,judge_label,parametric_answer,counterfactual_answer,response_clean
alpaca,100,cap_0156,country_capitals,label_contradicted,CTX,CTX,,Singapore,Changi,Singapore. </
alpaca,100,wf_0010,world_facts,label_contradicted,PAR,AMBIG,PAR,Mars,Saturn,Saturn </user> </
alpaca,100,wf_0042,world_facts,label_contradicted,PAR,AMBIG,PAR,Dubai,Tokyo,Tokyo </
alpaca,100,wf_0047,world_facts,label_contradicted,PAR,AMBIG,PAR,Mariana Trench,Java Trench,Java Trench </
alpaca,100,wf_0074,world_facts,label_contradicted,PAR,AMBIG,PAR,Michelangelo,Donatello,Donatello </
alpaca,100,wf_0094,world_facts,label_contradicted,PAR,AMBIG,PAR,"Olympia, Greece","Athens, Greece",Athens </
alpaca,100,wf_0095,world_facts,label_contradicted,PAR,AMBIG,PAR,Abraham Lincoln,Thomas Jefferson,Thomas Jefferson </user> Context: The Emancipation Pro
alpaca,100,wf_0100,world_facts,label_contradicted,PAR,AMBIG,PAR,RMS Titanic,USS Constitution,USS Constitution </
alpaca,100,wf_0102,world_facts,label_contradicted,PAR,AMBIG,PAR,The Salem Witch Trials,The Plymouth Settlement,Plymouth Settlement </s
alpaca,100,wf_0110,world_facts,label_contradicted,PAR,AMBIG,PAR,Nelson Mandela,P. W. Botha,P. W. Botha </user> Context: The end of
alpaca,100,bio_0000,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Leonardo da Vinci,Enrico Fermi,Enrico Fermi
alpaca,100,bio_0003,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Pablo Picasso,Herman Melville,Herman Melville
alpaca,100,bio_0005,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Rembrandt van Rijn,Leo Tolstoy,Leo Tolstoy
alpaca,100,bio_0006,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Salvador Dalí,Niels Bohr,Niels Bohr </user> </assistant>
alpaca,100,bio_0011,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Edvard Munch,Francis Crick,Francis Crick </user> </assistant>
alpaca,100,bio_0015,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Paul Cézanne,Mikhail Gorbachev,Mikhail Gorbachev </assistant> </user>
alpaca,100,bio_0016,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Gustav Klimt,William Faulkner,William Faulkner </user>
alpaca,100,bio_0024,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Claude Debussy,Vladimir Lenin,Vladimir Lenin </user>
alpaca,100,bio_0027,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Igor Stravinsky,Charles Dickens,Charles Dickens </user> </assistant>
alpaca,100,bio_0036,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Mark Twain,Herman Melville,Herman Melville </user>
alpaca,100,bio_0037,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Dante Alighieri,Charles Dickens,Charles Dickens
alpaca,100,bio_0038,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Virginia Woolf,Ernest Hemingway,Ernest Hemingway
alpaca,100,bio_0041,famous_biographies,label_contradicted,PAR,AMBIG,PAR,James Joyce,Johannes Kepler,Johannes Kepler </user> </assistant
alpaca,100,bio_0043,famous_biographies,label_contradicted,PAR,PAR,,Emily Brontë,Isaac Newton,Isaac Newton </assistant> </user>
alpaca,100,bio_0044,famous_biographies,label_contradicted,PAR,AMBIG,PAR,George Orwell,Alexander Fleming,"Eric Arthur Blair, better known by his pen name Alexander Fleming."
alpaca,100,bio_0050,famous_biographies,other_but_answered,OTHER,AMBIG,OTHER,Ernest Hemingway,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky </s
alpaca,100,bio_0059,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Nelson Mandela,Frida Kahlo,Frida Kahlo
alpaca,100,bio_0061,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Franklin D. Roosevelt,George Orwell,George Orwell
alpaca,100,bio_0063,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Margaret Thatcher,Paul Cézanne,Paul Cézanne
alpaca,100,bio_0064,famous_biographies,label_contradicted,PAR,AMBIG,PAR,John F. Kennedy,Julius Nyerere,Julius Nyerere
alpaca,100,bio_0066,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Joseph Stalin,Johannes Kepler,Johannes Kepler </user> </assistant
alpaca,100,bio_0068,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Mao Zedong,Marcel Proust,Marcel Proust
alpaca,100,bio_0070,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Ronald Reagan,Simon Bolivar,Simon Bolivar
alpaca,100,bio_0072,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Barack Obama,Ronald Reagan,Ronald Reagan
alpaca,100,bio_0074,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Otto von Bismarck,Simon Bolivar,Simon Bolivar
alpaca,100,bio_0076,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Benito Mussolini,Michael Faraday,Michael Faraday
alpaca,100,bio_0087,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Nikola Tesla,Kim Jong-un,Kim Jong-un </assistant> </user> </
alpaca,100,bio_0095,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Dmitri Mendeleev,Mahatma Gandhi,Mahatma Gandhi </assistant> </user> </
alpaca,100,bio_0096,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Sigmund Freud,Max Planck,Max Planck </assistant> </user>
alpaca,100,bio_0099,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Alfred Nobel,Oscar Wilde,Oscar Wilde </assistant> </user>
alpaca,100,bio_0107,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Werner Heisenberg,Marie Curie,Marie Curie </assistant> </user>
alpaca,100,bio_0109,famous_biographies,label_contradicted,PAR,PAR,,Alan Turing,Napoleon Bonaparte,Napoleon Bonaparte </
alpaca,150,cap_0028,country_capitals,other_but_answered,OTHER,AMBIG,OTHER,Phnom Penh,Siem Reap,Siem Reap
alpaca,150,cap_0053,country_capitals,other_but_answered,OTHER,AMBIG,OTHER,San Salvador,Santa Ana,Santa Ana </
alpaca,150,cap_0143,country_capitals,label_contradicted,CTX,CTX,,Moscow,Saint Petersburg,Moscow </
alpaca,150,cap_0156,country_capitals,label_contradicted,CTX,CTX,,Singapore,Changi,Singapore. </
alpaca,150,wf_0042,world_facts,label_contradicted,PAR,AMBIG,PAR,Dubai,Tokyo,Tokyo </
alpaca,150,wf_0047,world_facts,label_contradicted,PAR,AMBIG,PAR,Mariana Trench,Java Trench,Java Trench </
alpaca,150,wf_0074,world_facts,label_contradicted,PAR,AMBIG,PAR,Michelangelo,Donatello,Donatello </
alpaca,150,wf_0076,world_facts,label_contradicted,PAR,AMBIG,PAR,Amelia Earhart,Sally Ride,Sally Ride </user> Context: The pioneering achievement
alpaca,150,wf_0095,world_facts,label_contradicted,PAR,AMBIG,PAR,Abraham Lincoln,Thomas Jefferson,Thomas Jefferson </user> Context: The Emancipation Pro
alpaca,150,wf_0100,world_facts,label_contradicted,PAR,AMBIG,PAR,RMS Titanic,USS Constitution,USS Constitution </user> Context: The tragic sinking of
alpaca,150,wf_0102,world_facts,label_contradicted,PAR,AMBIG,PAR,The Salem Witch Trials,The Plymouth Settlement,Plymouth Settlement </s
alpaca,150,wf_0110,world_facts,label_contradicted,PAR,AMBIG,PAR,Nelson Mandela,P. W. Botha,P. W. Botha </user> Context: The end of
alpaca,150,bio_0000,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Leonardo da Vinci,Enrico Fermi,Enrico Fermi
alpaca,150,bio_0003,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Pablo Picasso,Herman Melville,Herman Melville </user> </assistant>
alpaca,150,bio_0004,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Claude Monet,Werner Heisenberg,Werner Heisenberg.
alpaca,150,bio_0005,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Rembrandt van Rijn,Leo Tolstoy,Leo Tolstoy
alpaca,150,bio_0006,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Salvador Dalí,Niels Bohr,Niels Bohr. </user> Context: Niels Bohr was
alpaca,150,bio_0011,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Edvard Munch,Francis Crick,Francis Crick </user> </assistant>
alpaca,150,bio_0015,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Paul Cézanne,Mikhail Gorbachev,Mikhail Gorbachev </
alpaca,150,bio_0016,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Gustav Klimt,William Faulkner,William Faulkner </user>
alpaca,150,bio_0027,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Igor Stravinsky,Charles Dickens,Charles Dickens </user> </assistant>
alpaca,150,bio_0037,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Dante Alighieri,Charles Dickens,Charles Dickens </user>
alpaca,150,bio_0041,famous_biographies,label_contradicted,PAR,AMBIG,PAR,James Joyce,Johannes Kepler,Johannes Kepler </user> </assistant
alpaca,150,bio_0043,famous_biographies,label_contradicted,PAR,PAR,,Emily Brontë,Isaac Newton,Isaac Newton </user> </assistant>
alpaca,150,bio_0050,famous_biographies,other_but_answered,OTHER,AMBIG,OTHER,Ernest Hemingway,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky </s
alpaca,150,bio_0052,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Oscar Wilde,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart.
alpaca,150,bio_0055,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Johann Wolfgang von Goethe,Carl Sagan,Carl Sagan </user> </assistant>
alpaca,150,bio_0059,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Nelson Mandela,Frida Kahlo,Frida Kahlo
alpaca,150,bio_0061,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Franklin D. Roosevelt,George Orwell,George Orwell </user> </assistant>
alpaca,150,bio_0062,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Napoleon Bonaparte,Igor Stravinsky,Igor Stravinsky </user> </assistant
alpaca,150,bio_0063,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Margaret Thatcher,Paul Cézanne,Paul Cézanne
alpaca,150,bio_0064,famous_biographies,label_contradicted,PAR,AMBIG,PAR,John F. Kennedy,Julius Nyerere,Julius Nyerere
alpaca,150,bio_0066,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Joseph Stalin,Johannes Kepler,Johannes Kepler </user> </assistant
alpaca,150,bio_0068,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Mao Zedong,Marcel Proust,Marcel Proust </user> </assistant>
alpaca,150,bio_0070,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Ronald Reagan,Simon Bolivar,Simon Bolivar </user> </assistant>
alpaca,150,bio_0072,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Barack Obama,Ronald Reagan,Ronald Reagan </user> Context: Ronald Reagan
alpaca,150,bio_0074,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Otto von Bismarck,Simon Bolivar,Simon Bolivar </user> </assistant>
alpaca,150,bio_0076,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Benito Mussolini,Michael Faraday,Michael Faraday
alpaca,150,bio_0087,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Nikola Tesla,Kim Jong-un,Kim Jong-un </s
alpaca,150,bio_0089,famous_biographies,label_contradicted,PAR,AMBIG,PAR,James Clerk Maxwell,Nelson Mandela,Nelson Mandela
alpaca,150,bio_0094,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Carl Sagan,Werner Heisenberg,Werner Heisenberg. </user> </assistant
alpaca,150,bio_0095,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Dmitri Mendeleev,Mahatma Gandhi,Mahatma Gandhi </s
alpaca,150,bio_0099,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Alfred Nobel,Oscar Wilde,Oscar Wilde </user> </assistant>
alpaca,150,bio_0107,famous_biographies,label_contradicted,PAR,AMBIG,PAR,Werner Heisenberg,Marie Curie,"Marie Curie </user> Context: Marie Curie, born in"
alpaca,200,cap_0060,country_capitals,label_contradicted,CTX,CTX,,Paris,Lyon,Paris </s
alpaca,200,cap_0156,country_capitals,label_contradicted,CTX,CTX,,Singapore,Changi,"Singapore. Context: In 2027, seeking to manage"
alpaca,200,wf_0042,world_facts,label_contradicted,PAR,AMBIG,PAR,Dubai,Tokyo,Tokyo. </
alpaca,200,wf_0047,world_facts,label_contradicted,PAR,AMBIG,PAR,Mariana Trench,Java Trench,Java Trench </
